Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:48:53.192354_12,classical,Agnes Obel,Riverside,261245,https://www.last.fm/music/Agnes+Obel/_/Riverside
2019-04-16 22:48:53.355918_13,classical,Ludovico Einaudi,Nuvole Bianche,258967,https://www.last.fm/music/Ludovico+Einaudi/_/Nuvole+Bianche
2019-04-16 22:48:53.518138_14,classical,Howard Shore,Concerning Hobbits,252502,https://www.last.fm/music/Howard+Shore/_/Concerning+Hobbits
2019-04-16 22:48:53.818990_15,classical,Ludovico Einaudi,Divenire,245159,https://www.last.fm/music/Ludovico+Einaudi/_/Divenire
2019-04-16 22:48:54.113070_16,classical,Yiruma,River Flows in You,244408,https://www.last.fm/music/Yiruma/_/River+Flows+in+You
2019-04-16 22:48:54.277071_17,classical,Daft Punk,Adagio for Tron,243365,https://www.last.fm/music/Daft+Punk/_/Adagio+for+Tron
2019-04-16 22:48:54.510795_18,classical,Johannes Brahms,Hungarian Dance No. 5,239346,https://www.last.fm/music/Johannes+Brahms/_/Hungarian+Dance+No.+5
2019-04-16 22:48:54.810561_19,classical,Ludovico Einaudi,Fly,1050137,https://www.last.fm/music/Ludovico+Einaudi/_/Fly
2019-04-16 22:48:54.961158_20,classical,Johann Sebastian Bach,Air,961723,https://www.last.fm/music/Johann+Sebastian+Bach/_/Air
2019-04-16 22:48:55.129521_21,classical,Franz Schubert,Ave Maria,190190,https://www.last.fm/music/Franz+Schubert/_/Ave+Maria
2019-04-16 22:48:55.295291_22,classical,Samuel Barber,Adagio For Strings,304846,https://www.last.fm/music/Samuel+Barber/_/Adagio+For+Strings
2019-04-16 22:48:55.451542_23,classical,Ludovico Einaudi,Primavera,227124,https://www.last.fm/music/Ludovico+Einaudi/_/Primavera
2019-04-16 22:48:55.607706_24,classical,Maurice Ravel,Bolero,213208,https://www.last.fm/music/Maurice+Ravel/_/Bolero
2019-04-16 22:48:55.766221_25,classical,Muse,Prelude,249306,https://www.last.fm/music/Muse/_/Prelude
2019-04-16 22:48:55.928789_26,classical,Richard Wagner,Ride of the Valkyries,204356,https://www.last.fm/music/Richard+Wagner/_/Ride+of+the+Valkyries
2019-04-16 22:48:56.101117_27,classical,Clint Mansell,Together We Will Live Forever,203768,https://www.last.fm/music/Clint+Mansell/_/Together+We+Will+Live+Forever
2019-04-16 22:48:56.271331_28,classical,Wolfgang Amadeus Mozart,Requiem,179243,https://www.last.fm/music/Wolfgang+Amadeus+Mozart/_/Requiem
